code,description,priority,severity_source
3D,Bicycle Access Waiver Request – Elevator Safety,D,new
3E,Bicycle Access Waiver Request – Alternate Parking,D,new
3G,Restroom Non-Compliance with Local Law 79/16,C,new
3H,DCP/BSA Compliance Inspection,D,new
4A,Illegal Hotel Rooms in Residential Buildings,B,original
4B,SEP – Professional Certification Compliance Audit,B,original
4C,Excavation Tracking Complaint,D,original
4D,Interior Demo Tracking Complaint,D,original
4E,Stalled Sites Tracking Complaint,D,new
4F,SST Tracking Complaint,D,original
4G,Illegal Conversion No Access Follow-Up,B,original
4H,V.E.S.T. Program (DOB & NYPD),D,new
4J,M.A.R.C.H. Program (Interagency),D,original
4K,CSC: DM Tracking Complaint,D,original
4L,CSC: High-Rise Tracking Complaint,D,original
4M,CSC: Low-Rise Tracking Complaint,D,original
4N,Retaining Wall Tracking Complaint,D,original
4P,Legal/Padlock Tracking Complaint,D,original
4S,Sustainability Enforcement Work Order,B,new
4W,Woodside Settlement Project,C,original
4X,After Hours Work – With an AHV Permit,C,new
5A,Request for Joint FDNY/DOB Inspection,B,original
5B,Non-Compliance: with Lightweight Materials,A,original
5C,Structural Stability Impacted – New Building Under Construction,A,original
5D,Non-Compliance: with TPPN 1/00 – Vertical Enlargements,C,new
5E,Amusement Ride Accident/Incident,A,original
5F,Compliance Inspection,D,original
5G,Unlicensed/Illegal/Improper Work In-Progress,B,original
5H,Illegal Activity,B,new
5J,Multi Agency Joint Inspection,D,new
6A,Vesting Inspection,D,original
6B,Semi-Annual Homeless Shelter Inspection: Plumbing,C,new
6C,Semi-Annual Homeless Shelter Inspection: Construction,C,new
6D,Semi-Annual Homeless Shelter Inspection: Electrical,C,new
6M,Elevator: Multiple Devices on Property,D,new
6S,Elevator: Single Device on Property/No Alternate Service,D,new
6V,Tenant Safety Inspection,C,new
6W,Tenant Safety – Failure to Post/Distribute,C,new
6X,Work Without Permits Watch List Compliance,B,new
6Y,Local Law Audits,D,new
6Z,Training Compliance,D,new
7A,Integrity Complaint Referral,D,new
7B,Illegal Commercial or Manufacturing Use in a C1 or C2 Zone,C,new
7F,CSE: Tracking Compliance,D,new
7G,CSE: Sweep,D,new
7J,Work Without a Permit – Occupied Multiple Dwelling,B,new
7K,Local Law 188/17 Compliance Inspections – Active Jobs,D,new
7L,DOHMH Referral – Tenant Protection Non-Compliance,B,new
7N,Privately Owned Public Space/Compliance Inspection,C,new
8A,Construction Safety Compliance (CSC) Action,B,new
